AEE indicator group,Indicator,Field name,Definition (brief),Unit / scale,Role in study
Accessibility,Walking service accessibility (15 min),walk_access_15m,Decayed walking-network access to weighted daily services,Index 0–100,Core AEE; GMM clustering input
Accessibility,Cycling service accessibility (5 min),bike_access_5m,Decayed cycling-network access; short neighbourhood threshold,Index 0–100,AEE feature matrix; nested threshold (profile/diagnostic)
Accessibility,Cycling service accessibility (15 min),bike_access_15m,Decayed cycling-network access; municipal neighbourhood threshold,Index 0–100,Core AEE; GMM clustering input
Accessibility,PT stop-access potential (10 min),pt_stop_access_10m,Walking access to OSM PT stops; short first-/last-mile threshold,Index 0–100,AEE feature matrix; nested threshold (profile/diagnostic)
Accessibility,PT stop-access potential (20 min),pt_stop_access_20m,Walking access to OSM PT stops; extended first-/last-mile threshold,Index 0–100,Core AEE; GMM clustering input
Environment,Green-cover share,green_share_pct,Share of hex covered by official natural/green land cover,% of hex area,Core AEE; GMM clustering input
Environment,Blue-cover share,blue_pct,Share of hex covered by water bodies,% of hex area,Environmental composite input
Environment,Protected / open-land share,eco_pct,Share of hex in WDPA and/or §3 nature,% of hex area,Environmental quality composite input
Environment,Built-up intensity,builtup_pct,Share of hex in official built-up classes,% of hex area,Core AEE; GMM clustering & URC score input
Environment,Major-road exposure,road_buf_pct,Share of hex within 50 m of selected major roads,% of hex area,Core AEE; GMM clustering input
Environment,Environmental quality index,env_quality / env_quality_score,Composite of environmental benefits (green/blue/eco and inverse pressures),Index 0–100,Core AEE; GMM clustering input
Environment,Environmental burden index,env_burden / env_burden_score,"Composite of environmental pressures (built-up, roads, supporting burdens)",Index 0–100,Core AEE; GMM clustering input
Environment (supporting),Mean summer land-surface temperature,heat_mean,Zonal mean summer LST,°C (LST),Supporting composite input; not default GMM feature
Environment (supporting),Mean state-road noise (Lden),noise_mean,Zonal mean / exposure to state-road noise,dB / share,Supporting composite input; not default GMM feature
"Environment (supporting, interim)",Air-pollution proxy (NO₂),air_pollution_mean,Interim regional NO₂ surface mean,Concentration proxy,Interim supporting input; not default GMM feature
Equity / demography,Population density,pop_density_km2,Dasymetric persons per km² (SOGN×BBR→FOLK1A; DST soft-constraint),persons/km²,Morphology proxy; GMM clustering input
Equity / demography,Total population (hex),population_total,Dasymetric population count per hex,persons,Demographic base; density numerator
Equity / demography,Children share (0–14),children_share,Share of estimated population aged 0–14,Share 0–1,Age-vulnerability component (descriptive)
Equity / demography,Elderly share (65+),elderly_share,Share of estimated population aged 65+,Share 0–1,Age-vulnerability component (descriptive)
Equity / demography,Age vulnerability,age_vulnerability / age_vulnerability_share,Children + elderly share (capped),Share / normalised,Descriptive equity; excluded from GMM
Equity / demography,Socio-economic vulnerability,socioeconomic_vulnerability / socioeconomic_vulnerability_share,Available low education / unemployment / low income shares,Share / normalised,Descriptive equity; excluded from GMM
Equity / demography,Demographic vulnerability index,demographic_vulnerability / demo_vulnerability_score,Composite demographic vulnerability (density + age + socio),Index 0–100,Descriptive equity mapping; excluded from GMM
Derived typology products,Continuous functional URC score,functional_urc_score,"Weighted continuum score (low access, low density, low built-up, green character)",Score 0–100 (0=urban/central),Mapping / interpretation; excluded from GMM inputs
Derived typology products,GMM functional URC type,functional_urc_type / urc_type_gmm_smooth,Interpreted soft typology after Queen smoothing,4 categorical labels,Primary GeoAI typology result
Derived typology products,GMM membership uncertainty,urc_type_uncertainty,1 − maximum posterior class probability,0–1,Uncertainty mapping
