table_id,aee_domain,variable_id,indicator_name,dataset_product,provider_source,year_or_download_date,spatial_resolution_geometry,crs,filter_rules_or_tags,network_or_model_parameters,weights_or_formula,aggregation_to_500m_hex,transformation,missingness,polarity_high_means,used_in_pca,used_in_gmm_clustering,script,notes_limitations
A1,Spatial framework,municipality_boundary,Study-area boundary,Odense municipality districts (GPKG/SHP),Local Map Layers (GIS export; document original SDFE/municipal source if known),File dated ~2026-06-01,Polygon districts,EPSG:25832 (analysis CRS),Union of districts = municipal study boundary,N/A,N/A,Defines clip boundary for hex grid,N/A,None,N/A,No,No,shared inputs,Local project file
A1,Spatial framework,hex_grid_500m,Analytical spatial unit,Odense 500 m hexagonal cells,"Local Map Layers (Odense-500mHexaCells_1.gpkg, layer odense500mhexacells__grid)",File dated ~2026-06-01,"Regular hexagons, 500 m; n=1,539 after clip; municipality area ~304.37 km2",EPSG:25832,Clipped to municipal boundary,N/A,N/A,Primary analysis unit,N/A,None,N/A,No,No,shared inputs,All indicators aggregated to this grid
A1,Accessibility,walk_access_15m,Walking service accessibility (15 min),OpenStreetMap walk network + amenity/shop/leisure POIs,OpenStreetMap via OSMnx (live Overpass download),Exact OSM retrieval timestamp not stored; analysis outputs ~2026-06-01/02,Network edges + POI points/representative points of polygons,EPSG:25832,"network_type=walk, undirected, retain_all; services snapped if <=200 m from graph; categories: food_retail, health, education_childcare, food_drink, civic_daily_services, recreation (see Sheet 'Service_weights')","Speed 1.34 m/s; threshold 15 min only (~1,206 m); decay s=exp(-d/700), beta=700 m; multi-source Dijkstra",Category weights 0.25/0.20/0.15/0.15/0.15/0.10; weighted sum then min-max to 0-100,Hex centroid (or cell) accessibility score on walk network,Beyond cutoff score=0; else quintiles among accessible cells for classes; continuous 0-100 for modelling,655/1539 cells beyond 15 min for all categories (validation),Better walking access to daily services,Yes,Yes (revised),walkability_index_revised.py,Walking index is 15 min only (not dual 5-15). OSM completeness varies.
A1,Accessibility,bike_access_5m,Cycling service accessibility (5 min),OpenStreetMap bike network + same service POIs as walking,OpenStreetMap via OSMnx,Exact OSM retrieval timestamp not stored; outputs ~2026-06-01/02,Network edges + POI points,EPSG:25832,"network_type=bike, undirected; services snapped if <=250 m; same service taxonomy as walking","Speed 15 km/h; threshold 5 min (1,250 m); decay exp(-d/1800), beta=1,800 m",Same category weights as walking; min-max 0-100,Hex-level bike accessibility score,Beyond-cutoff class + quintiles among accessible; continuous 0-100,Beyond 5 min: 614/1539 (validation),Better cycling access to daily services,Yes,No (15-min used in revised GMM),bikeability_index_odense.py,OSM bike network completeness varies
A1,Accessibility,bike_access_15m,Cycling service accessibility (15 min),OpenStreetMap bike network + same service POIs as walking,OpenStreetMap via OSMnx,Exact OSM retrieval timestamp not stored; outputs ~2026-06-01/02,Network edges + POI points,EPSG:25832,"network_type=bike, undirected; snap <=250 m; same service taxonomy","Speed 15 km/h; threshold 15 min (3,750 m); decay beta=1,800 m",Same category weights as walking; min-max 0-100,Hex-level bike accessibility score,Beyond-cutoff + quintiles; continuous 0-100,Beyond 15 min: 52/1539 (validation),Better cycling access to daily services,Yes,Yes (revised),bikeability_index_odense.py,OSM bike network completeness varies
A1,Accessibility,pt_stop_access_10m,Public-transport stop access (10 min walk),OpenStreetMap PT stops/stations + OSM walk network,OpenStreetMap via OSMnx (not GTFS / Rejseplanen),Exact OSM retrieval timestamp not stored; outputs ~2026-06-01/02,PT stop points + walk network,EPSG:25832,"Stops snapped if <=200 m; categories: bus_stop, platform/stop_position, rail/tram, transport_hub (see Sheet 'PT_weights')","Walk speed 1.34 m/s; threshold 10 min (~804 m); decay beta=1,000 m",Composite = 50% nearest all-stop score + 50% weighted PT-category composite; 0-100,Hex-level stop-access score,Beyond-cutoff + quintiles; continuous 0-100,Beyond 10 min: 989/1539 (validation),Better first-/last-mile stop-access potential,Yes,No (20-min used in revised GMM),public_transport_stop_accessibility_index_odense.py,"Stop-access potential only; no timetable, frequency, transfers, or fares"
A1,Accessibility,pt_stop_access_20m,Public-transport stop access (20 min walk),OpenStreetMap PT stops/stations + OSM walk network,OpenStreetMap via OSMnx (not GTFS / Rejseplanen),Exact OSM retrieval timestamp not stored; outputs ~2026-06-01/02,PT stop points + walk network,EPSG:25832,Same PT categories as 10-min indicator,"Walk speed 1.34 m/s; threshold 20 min (~1,608 m); decay beta=1,000 m",50% all-stop + 50% category composite; 0-100,Hex-level stop-access score,Beyond-cutoff + quintiles; continuous 0-100,Beyond 20 min: 630/1539 (validation),Better first-/last-mile stop-access potential,Yes,Yes (revised),public_transport_stop_accessibility_index_odense.py,Stop-access potential only; not full PT accessibility
A1,Environment,green_share_pct,Green / open-space area share,OpenStreetMap green/open/natural polygons,OpenStreetMap via OSMnx,Exact OSM retrieval timestamp not stored; outputs ~2026-06-01/02,"Polygons/MultiPolygons only (6,673 features in validation)",EPSG:25832,Agriculture excluded; leisure/landuse/natural/boundary green tags (see Sheet 'Green_OSM_tags'); dissolve before intersect,N/A,green_area_m2 / clipped_cell_area_m2 * 100,Area overlay intersection share,Continuous %; municipality-wide quintile classes,None for share (0% possible); area-weighted mean share ~28.89%,Higher green/open share in cell,Yes,Yes (revised),green_area_share_index_odense (1).py,OSM completeness; not necessarily publicly accessible green space
A1,Environment,env_quality,Environmental quality composite,"OSM green, blue, built-up, major roads (reported run OSM-only)",OpenStreetMap via OSMnx; official Dataforsyningen folder configured but absent (not used),Exact OSM retrieval timestamp not stored; outputs ~2026-06-01/02,Polygon overlays + 100 m road buffers,EPSG:25832,Green (no agriculture); blue water; built-up buildings/landuse/parking; major highways (motorway–tertiary + links),Road buffer = 100 m,After OSM-only renormalisation: green 0.377; blue 0.151; builtup_inverse 0.283; road_burden_inverse 0.189,Intersection area / cell area → component shares → weighted composite,Min-max within municipality; inverse for positive components; quintile classes,Official vectors/rasters: none used,Higher environmental quality,Yes,No (revised AE set),multisource_environmental_index_odense.py,Do not claim Dataforsyningen for reported run. Heat/air/noise/eco unused.
A1,Environment,env_burden,Environmental burden composite,Same OSM layers as env_quality,OpenStreetMap via OSMnx,Exact OSM retrieval timestamp not stored; outputs ~2026-06-01/02,Polygon overlays + 100 m road buffers,EPSG:25832,Same as env_quality,Road buffer = 100 m,low_green 0.283; low_blue 0.094; builtup 0.340; road_burden 0.283,Intersection shares → weighted composite,Min-max; quintiles,Official layers unused,Higher environmental pressure / burden,Yes,No (revised AE set),multisource_environmental_index_odense.py,OSM-only in reported run
