table_id,aee_domain,variable_id,indicator_name,dataset_product,provider_source,year_or_download_date,spatial_resolution_geometry,crs,filter_rules_or_tags,network_or_model_parameters,weights_or_formula,aggregation_to_500m_hex,transformation,missingness,polarity_high_means,used_in_pca,used_in_gmm_clustering,script,notes_limitations
A1,Spatial framework,municipality_boundary,Study-area boundary,Odense municipality districts (GPKG/SHP),Local Map Layers (GIS export; SDFE/DAGI municipal boundary),Project file ~2026-06-01; packaged 2026-07-30,Polygon districts,EPSG:25832 (analysis CRS),Union of districts = municipal study boundary,N/A,N/A,Defines clip boundary for hex grid,N/A,None,N/A,No,No,shared inputs,File: Map Layers/Odense_Municipality_1.gpkg (+ SHP twin)
A1,Spatial framework,hex_grid_500m,Analytical spatial unit,Odense 500 m hexagonal cells,Map Layers/Odense-500mHexaCells_1.gpkg; canonical hexes also embedded in accessibility GPKG,Project file ~2026-06-01; packaged 2026-07-30,"Regular hexagons, 500 m; n=1,539 after clip; municipality area ~304.37 km2",EPSG:25832,Clipped to municipal boundary; Stage B merges on centroid cell_key,N/A,N/A,Primary analysis unit,N/A,None,N/A,No,No,shared inputs,All indicators aggregated to this grid
A1,Accessibility,walk_access_15m,Walking service accessibility (15 min),OpenStreetMap (OSM) pedestrian network and service POIs via OSMnx/Overpass,OpenStreetMap,OSM snapshot used in analysis GPKG dated 2026-06-01 (method reused 2026-07-29),"Network edges + POI points; scores on 500 m hex centroids (n = 1,539; EPSG:25832)",EPSG:25832,"network_type = walk, undirected; destinations snapped if ≤200 m from graph; study area = Odense municipality",food_retail; health; education_childcare; food_drink; civic_daily_services; recreation,"Category weights 0.25 / 0.20 / 0.15 / 0.15 / 0.15 / 0.10; distance decay s = exp(−d/700), β = 700 m; walking speed 1.34 m/s; 15 min cutoff (~1,206 m)",Multi-source Dijkstra network distance to nearest facility per category; hex-centroid evaluation; no spatial interpolation of scores,See standardization direction; GMM features z-standardised before clustering,"0% NaN; 655/1,539 hexes (42.6%) beyond 15 min for all categories (score = 0)",Positive (higher = better access); municipality min–max to 0–100,Yes,Yes,see Code_map sheet,
A1,Accessibility,bike_access_15m,Cycling service accessibility (15 min),OpenStreetMap (OSM) bicycle network and service POIs via OSMnx/Overpass,OpenStreetMap,Analysis GPKG 2026-06-01 (reused 2026-07-29),Bicycle network + POI points; 500 m hex (EPSG:25832),EPSG:25832,"network_type = bike, undirected; destinations snapped if ≤250 m; Odense municipality clip",Same taxonomy as walking: food_retail; health; education_childcare; food_drink; civic_daily_services; recreation,"Same category weights as walking; decay s = exp(−d/1,800), β = 1,800 m; speed 15 km/h; 15 min cutoff (3,750 m)",Network distance on bike graph; hex-centroid evaluation,See standardization direction; GMM features z-standardised before clustering,"0% NaN; 52/1,539 hexes (3.4%) beyond 15 min (score = 0)",Positive (higher = better access); min–max to 0–100,Yes,Yes,see Code_map sheet,
A1,Accessibility,bike_access_5m,Cycling service accessibility (5 min),OpenStreetMap (OSM) bicycle network and service POIs via OSMnx/Overpass,OpenStreetMap,Analysis GPKG 2026-06-01 (reused 2026-07-29),Bicycle network + POI points; 500 m hex (EPSG:25832),EPSG:25832,Same as bike_access_15m,Same as walking/cycling taxonomy,"Same weights/decay as bike_access_15m; 5 min cutoff (1,250 m)",Network distance on bike graph; hex-centroid evaluation,See standardization direction; GMM features z-standardised before clustering,"0% NaN; 614/1,539 hexes (39.9%) beyond 5 min (score = 0)",Positive; min–max to 0–100,Yes (supporting threshold),No (supporting; 15 min used in GMM),see Code_map sheet,
A1,Accessibility,pt_stop_access_20m,Public-transport stop access (20 min walk),OpenStreetMap PT stops/stations/platforms/hubs + OSM walk network (OSMnx; not GTFS),OpenStreetMap PT stops/stations/platforms/hubs + OSM walk network,Analysis GPKG 2026-06-01 (reused 2026-07-29),PT stop points + walk network; 500 m hex (EPSG:25832),EPSG:25832,Stops snapped if ≤200 m from walk graph; stop-access potential only (no timetable/frequency),bus_stop; platform/stop_position; rail/tram; transport_hub,"50% nearest all-stop score + 50% PT-category composite; decay β = 1,000 m; walk 1.34 m/s; 20 min cutoff (~1,608 m)",Walk-network distance to nearest stop(s); hex-centroid evaluation,See standardization direction; GMM features z-standardised before clustering,"0% NaN; 630/1,539 hexes (40.9%) beyond 20 min (score = 0)",Positive (higher = better stop access); min–max to 0–100,Yes,Yes,see Code_map sheet,
A1,Accessibility,pt_stop_access_10m,Public-transport stop access (10 min walk),OpenStreetMap PT stops/stations + OSM walk network (OSMnx),OpenStreetMap PT stops/stations + OSM walk network,Analysis GPKG 2026-06-01 (reused 2026-07-29),PT stop points + walk network; 500 m hex (EPSG:25832),EPSG:25832,Same as pt_stop_access_20m,bus_stop; platform/stop_position; rail/tram; transport_hub,Same composite rule; 10 min cutoff (~804 m),Walk-network distance; hex-centroid evaluation,See standardization direction; GMM features z-standardised before clustering,"0% NaN; 989/1,539 hexes (64.3%) beyond 10 min (score = 0)",Positive; min–max to 0–100,Yes (supporting threshold),No (supporting; 20 min used in GMM),see Code_map sheet,
A1,Environment,green_share_pct,Official green/natural land-cover share (%),GeoDanmark (GEODKV) natural/land-cover polygons (official_landcover_natural composite),GeoDanmark,Downloaded 2026-07-29,Polygons; aggregated to 500 m hex,EPSG:25832,Official natural/green GeoDanmark classes only; agriculture excluded from green composite; clipped to Odense,,Area share = green_area / hex_area × 100; quality composite weight 0.18 (pre-renormalisation),Polygon–hex area intersection (areal overlay),See standardization direction; GMM features z-standardised before clustering,0% (0% cover treated as true zero),Positive (higher green share = higher environmental quality),Yes,Yes,see Code_map sheet,
A1,Environment,builtup_pct,Built-up area share (%),GeoDanmark (GEODKV) built-up/settlement polygons (official_builtup composite),GeoDanmark,Downloaded 2026-07-29,Polygons; aggregated to 500 m hex,EPSG:25832,"Official built-up classes (buildings, urban core, high/low density settlement, commercial, etc.); Odense clip",,Area share (%); enters quality as inverse (weight 0.12) and burden as direct (0.18),Polygon–hex area intersection,See standardization direction; GMM features z-standardised before clustering,0% (0% cover treated as true zero),Negative for environmental quality (higher built-up = lower quality); positive for urban intensity/morphology,Yes,Yes,see Code_map sheet,
A1,Environment,road_buf_pct,Major-road corridor exposure (%),GeoDanmark (GEODKV) road centreline (vejmidte),GeoDanmark,Downloaded 2026-07-29,Lines buffered 50 m; share on 500 m hex,EPSG:25832,"Major roads only (motorway, main route, primary/secondary route classes); municipal clip",,Buffered area / hex area × 100; quality inverse weight 0.10; burden weight 0.15,50 m buffer → polygon–hex intersection,See standardization direction; GMM features z-standardised before clustering,0% (0% cover treated as true zero),Negative for environmental quality (higher exposure = lower quality),Yes,Yes,see Code_map sheet,
