table_id,aee_domain,variable_id,indicator_name,dataset_product,provider_source,year_or_download_date,spatial_resolution_geometry,crs,filter_rules_or_tags,network_or_model_parameters,weights_or_formula,aggregation_to_500m_hex,transformation,missingness,polarity_high_means,used_in_pca,used_in_gmm_clustering,script,notes_limitations
A1,Spatial framework,municipality_boundary,Study-area boundary,Odense municipality districts (SHP/GPKG; also embedded in accessibility GPKGs),Local Map Layers (GIS export; original SDFE/DAGI municipal boundary),File dated ~2026-06-01; reused in v1 2026-07-29,Polygon districts (30 districts in walk GPKG layer),EPSG:25832 (analysis CRS),Union of districts = municipal study boundary,,,Defines clip boundary for hex grid,,,,No,No,shared inputs,Local project file
A1,Spatial framework,hex_grid_500m,Analytical spatial unit,Canonical analysis hexes from walking_accessibility_500m_hexagons (n=1539); source Map Layers Odense-500mHexaCells clipped to municipality,Local Map Layers / prior accessibility run,Analysis grid established ~2026-06-01; v1 2026-07-29,"Regular hexagons, 500 m; n=1,539 after clip; municipality area ~304.37 km2",EPSG:25832,Clipped to municipal boundary; Stage B merges indicators on centroid cell_key,,,Primary analysis unit,,,,No,No,shared inputs,All indicators aggregated to this grid
A1,Accessibility,walk_access_15m,Walking service accessibility (15 min),OpenStreetMap walk network + amenity/shop/leisure POIs,OpenStreetMap via OSMnx (live Overpass download),Exact OSM retrieval timestamp not stored; analysis GPKG 2026-06-01; reused in v1 2026-07-29 (method unchanged),Network edges + POI points/representative points of polygons,EPSG:25832,"network_type=walk, undirected, retain_all; services snapped if <=200 m from graph; categories: food_retail, health, education_childcare, food_drink, civic_daily_services, recreation","Speed 1.34 m/s; threshold 15 min only (~1,206 m); decay s=exp(-d/700), beta=700 m; multi-source Dijkstra",Category weights 0.25/0.20/0.15/0.15/0.15/0.10; weighted sum then min-max to 0-100,Hex centroid accessibility score on walk network,Beyond cutoff score=0; else quintiles among accessible cells for classes; continuous 0-100 for modelling,655/1539 cells beyond 15 min for all categories (validation),Better walking access to daily services,Yes,Yes (v1),walkability_index_revised.py,Walking index is 15 min only (not dual 5-15). OSM completeness varies. Not re-downloaded in v1.
A1,Accessibility,bike_access_5m,Cycling service accessibility (5 min),OpenStreetMap bike network + same service POIs as walking,OpenStreetMap via OSMnx,GPKG 2026-06-01; reused in v1 2026-07-29,Network edges + POI points,EPSG:25832,"network_type=bike, undirected; services snapped if <=250 m; same service taxonomy as walking","Speed 15 km/h; threshold 5 min (1,250 m); decay exp(-d/1800), beta=1,800 m",Same category weights as walking; min-max 0-100,Hex-level bike accessibility score,Beyond-cutoff class + quintiles among accessible; continuous 0-100,Beyond 5 min: 614/1539 (validation),Better cycling access to daily services,Yes,No (15-min used in GMM),bikeability_index_odense.py,OSM bike network completeness varies. Not re-downloaded in v1.
A1,Accessibility,bike_access_15m,Cycling service accessibility (15 min),OpenStreetMap bike network + same service POIs as walking,OpenStreetMap via OSMnx,GPKG 2026-06-01; reused in v1 2026-07-29,Network edges + POI points,EPSG:25832,"network_type=bike, undirected; snap <=250 m; same service taxonomy","Speed 15 km/h; threshold 15 min (3,750 m); decay beta=1,800 m",Same category weights as walking; min-max 0-100,Hex-level bike accessibility score,Beyond-cutoff + quintiles; continuous 0-100,Beyond 15 min: 52/1539 (validation),Better cycling access to daily services,Yes,Yes (v1),bikeability_index_odense.py,OSM bike network completeness varies. Not re-downloaded in v1.
A1,Accessibility,pt_stop_access_10m,Public-transport stop access (10 min walk),OpenStreetMap PT stops/stations + OSM walk network,OpenStreetMap via OSMnx (not GTFS / Rejseplanen),GPKG 2026-06-01; reused in v1 2026-07-29,PT stop points + walk network,EPSG:25832,"Stops snapped if <=200 m; categories: bus_stop, platform/stop_position, rail/tram, transport_hub","Walk speed 1.34 m/s; threshold 10 min (~804 m); decay beta=1,000 m",Composite = 50% nearest all-stop score + 50% weighted PT-category composite; 0-100,Hex-level stop-access score,Beyond-cutoff + quintiles; continuous 0-100,Beyond 10 min: 989/1539 (validation),Better first-/last-mile stop-access potential,Yes,No (20-min used in GMM),public_transport_stop_accessibility_index_odense.py,"Stop-access potential only; no timetable, frequency, transfers, or fares"
A1,Accessibility,pt_stop_access_20m,Public-transport stop access (20 min walk),OpenStreetMap PT stops/stations + OSM walk network,OpenStreetMap via OSMnx (not GTFS / Rejseplanen),GPKG 2026-06-01; reused in v1 2026-07-29,PT stop points + walk network,EPSG:25832,Same PT categories as 10-min indicator,"Walk speed 1.34 m/s; threshold 20 min (~1,608 m); decay beta=1,000 m",50% all-stop + 50% category composite; 0-100,Hex-level stop-access score,Beyond-cutoff + quintiles; continuous 0-100,Beyond 20 min: 630/1539 (validation),Better first-/last-mile stop-access potential,Yes,Yes (v1),public_transport_stop_accessibility_index_odense.py,Stop-access potential only; not full PT accessibility
A1,Environment,green_share_pct,Green / natural land-cover share,"GeoDanmark composite official_landcover_natural.gpkg (from geodanmark_odense_official.gpkg / GEODKV WFS; classes include skov, vaadomraade, kratbevoksning and related natural features; total natural ~42.1 km2 in Odense clip)",GeoDanmark via Datafordeler (GEODKV); portal Dataforsyningen / Klimadatastyrelsen,Downloaded 2026-07-29 (product registration dates per GeoDanmark feature),Polygon (dissolved multipolygon for Odense),EPSG:25832,Official natural/green GeoDanmark classes in composite (not OSM leisure tags); agriculture not included as green in this composite,,green_area_m2 / clipped_cell_area_m2 * 100,Area overlay intersection share,Continuous %; also used as green_share_norm in env quality/burden,None for share (0% possible); mean ~14.53%,Higher official natural/green share in cell,Yes,Yes (v1),01_build_official_green_and_env_v1.py (writes green_area_share GPKG),Official natural land cover; not necessarily publicly accessible green space. Replaces OSM green used in previous run.
A1,Environment,blue_pct,Blue / water-cover share,"GeoDanmark composite official_blue.gpkg (soe, bassin and related water features; ~4.0 km2)",GeoDanmark via Datafordeler (GEODKV); Dataforsyningen / Klimadatastyrelsen portal,Downloaded 2026-07-29,Polygon,EPSG:25832,Official water features in blue composite,,blue_area_m2 / cell_area_m2 * 100; enters env_quality/burden via blue_share_norm (quality weight 0.08),Area overlay intersection share,Continuous %,None (0% possible); mean ~1.39%,Higher water coverage,Indirect (via env_quality/env_burden),Indirect (via env_quality),01_build_official_green_and_env_v1.py,Component of environmental composites; not a standalone GMM feature
A1,Environment,eco_pct,Protected / §3 nature share,protected_nature.gpkg / ecological_health_vector.gpkg = WDPA (Protected Planet DNK) union LBST paragraf3_protected_nature.gpkg,UNEP-WCMC Protected Planet (WDPA); Landbrugsstyrelsen (LBST) via geodata.fvm.dk,WDPA DNK extract Jul 2026; LBST downloaded 2026-07-29,Polygon,EPSG:25832,Merged protected / §3 nature features clipped to Odense,,eco_area_m2 / cell_area_m2 * 100; eco_share_norm weight 0.12 in quality; low_eco in burden 0.10,Area overlay intersection share,Continuous %,None (0% possible); mean ~7.56%,Higher protected/§3 nature coverage,Indirect (via env_quality/env_burden),Indirect (via env_quality),01_build_official_green_and_env_v1.py,Citation: UNEP-WCMC via protectedplanet.net (DNK)
A1,Environment,builtup_pct,Built-up area share,"GeoDanmark composite official_builtup.gpkg (bygning, bykerne, hoejbebyggelse, lavbebyggelse, erhverv, etc.; ~86.7 km2)",GeoDanmark via Datafordeler (GEODKV); Dataforsyningen / Klimadatastyrelsen portal,Downloaded 2026-07-29,Polygon,EPSG:25832,Official built-up / settlement GeoDanmark classes in composite,,built-up area / cell area * 100; also in quality (builtup_inverse 0.12) and burden (builtup 0.18),Area overlay share,Continuous %,None (0% possible); mean ~26.56%,More built-up surface,Yes,Yes (v1),01_build_official_green_and_env_v1.py,Replaces OSM building/landuse built-up from previous run
A1,Environment,road_buf_pct,Major-road buffer exposure share,GeoDanmark official_roads.gpkg (vejmidte); major roads filtered by trafikart/vejkategori,GeoDanmark via Datafordeler (GEODKV),Downloaded 2026-07-29,Lines buffered to polygons (50 m),EPSG:25832,"Major classes only (Motorvej, Hovedrute, Primær/Sekundær routes, etc.); ~112 segments used after filter",Buffer distance 50 m (v1 official builder),buffered road area / cell area * 100; quality road_burden_inverse 0.10; burden road_burden 0.15,Area overlay share,Continuous %,None (0% possible); mean ~1.29% (stricter than previous OSM 100 m buffer),Greater exposure to major-road corridor,Yes,Yes (v1),01_build_official_green_and_env_v1.py,Definition change vs previous OSM 100 m motorway–tertiary buffer; not measured noise/air
